lecture_id,r_id,degree
12,596,0.2903925832
12,528,0.2683069329
12,583,0.2509883403
12,279,0.2492032703
12,646,0.1817387077
12,464,0.1677812962
12,379,0.166556716
12,401,0.1619182148
13,22,0.3135819879
13,433,0.275970405
13,290,0.2539803195
13,65,0.2140677911
13,352,0.1987344901
13,128,0.1904606849
13,50,0.1885695629
13,115,0.1880149899
13,249,0.180288082
14,756,0.2998130932
14,309,0.2876051337
14,87,0.2579038109
14,611,0.2242133597
14,19,0.1746820693
14,663,0.1459667803
14,413,0.1459072486
14,244,0.1405779725
14,726,0.1394656361
15,23,0.9981173128
15,131,0.9981173128
15,205,0.9981173128
15,329,0.9981173128
15,575,0.9981173128
15,33,0.9280890257
15,57,0.9280890257
15,560,0.8014096027
15,26,0.697713364
16,223,0.9415505085
16,677,0.2115264054
16,145,0.2000585485
16,237,0.1452928621
16,683,0.1193034833
16,626,0.1071435474
16,216,0.1040187447
16,374,0.09182113681
16,246,0.08823530986
17,559,0.2610699746
17,159,0.2492035473
17,718,0.2091962193
17,41,0.1777986861
17,501,0.1745785559
17,400,0.1629358413
17,147,0.1596472176
17,37,0.1594620038
17,412,0.1328077646
18,109,0.4781184542
18,230,0.4687315106
18,263,0.4029375483
18,706,0.3539754163
18,441,0.3530081272
18,316,0.3269444124
18,387,0.272005375
18,667,0.2127739696
18,609,0.1967111257
19,90,0.2663952577
19,121,0.2589158762
19,177,0.2546916364
19,295,0.2431329636
19,721,0.2431329636
19,452,0.2393357283
19,51,0.2332794029
19,68,0.2287037167
19,151,0.2287037167
20,149,0.4650451491
20,555,0.4650451491
20,763,0.4049856299
20,260,0.284871732
20,288,0.2696690099
20,444,0.2352039815
20,80,0.1938034183
20,264,0.1938034183
20,554,0.1810209137
21,242,0.2756843021
21,311,0.2739382196
21,371,0.2623542016
21,673,0.202611463
21,221,0.193636246
21,693,0.1669862427
21,171,0.1656287959
21,98,0.1633928695
21,229,0.1480665275
22,290,0.5641140672
22,382,0.4907692422
22,87,0.3358688798
22,249,0.3272762813
22,13,0.3135819879
22,758,0.3128054874
22,759,0.3035779167
22,89,0.2965297433
22,339,0.2583166797
23,15,0.9981173128
23,108,0.9981173128
23,258,0.9981173128
23,624,0.9981173128
23,711,0.9981173128
23,33,0.9261998649
23,57,0.9261998649
23,560,0.800349371
23,26,0.6962188543
24,196,0.4609672094
24,434,0.1480719446
24,268,0.1325313572
24,581,0.1259936261
24,741,0.1259936261
24,481,0.120265482
24,469,0.1114769888
24,647,0.1113472901
24,375,0.11072436
25,393,0.2826690619
25,177,0.1167555632
25,118,0.113124786
25,399,0.1103927858
25,691,0.1051734262
25,70,0.1006802978
25,173,0.1006802978
25,493,0.08709060054
25,515,0.08709060054
26,560,0.9469501222
26,33,0.7202288859
26,57,0.7202288859
26,15,0.697713364
26,108,0.697713364
26,258,0.697713364
26,624,0.697713364
26,711,0.697713364
26,23,0.6962188543
27,322,0.2897324621
27,340,0.2031225822
27,496,0.1635780384
27,488,0.1302784898
27,546,0.1068032373
27,116,0.1052242599
27,280,0.1052145316
27,431,0.1024865466
27,719,0.09067861764
28,261,0.9481276177
28,372,0.9481276177
28,631,0.8938939192
28,709,0.8938939192
28,435,0.8860376407
28,535,0.8860376407
28,1,0.1827102306
28,524,0.1814503152
28,406,0.1620410125
29,295,0.3630407846
29,721,0.3630407846
29,455,0.3432438818
29,708,0.3432438818
29,177,0.3148710358
29,562,0.2712065474
29,52,0.2663573724
29,585,0.2575810716
29,577,0.2526837403
30,654,0.3758153388
30,455,0.366100308
30,708,0.366100308
30,295,0.3623061198
30,721,0.3623061198
30,603,0.3605768088
30,177,0.3498616337
30,52,0.3330483205
30,310,0.2693603012
31,143,0.4312952048
31,144,0.2587223016
31,150,0.2515262135
31,405,0.2423641991
31,564,0.2219116267
31,10,0.1877194008
31,67,0.1758377318
31,549,0.1715618236
31,561,0.1676677231
32,145,0.2602915157
32,4,0.2158295142
32,453,0.2121438545
32,267,0.1881913851
32,237,0.1799446414
32,548,0.1748266611
32,407,0.1637128644
32,72,0.1598009005
32,266,0.1598009005
33,15,0.9280890257
33,108,0.9280890257
33,258,0.9280890257
33,624,0.9280890257
33,711,0.9280890257
33,23,0.9261998649
33,131,0.9261998649
33,205,0.9261998649
33,329,0.9261998649
34,105,0.4035061759
34,523,0.4035061759
34,666,0.4035061759
34,344,0.3319406231
34,530,0.3270618122
34,443,0.2554190872
34,185,0.2271880864
34,577,0.1948277142
34,695,0.1938537788
35,295,0.1118530711
35,721,0.1118530711
